FriendlyName,Build,KBArticle,ReleaseDate
SQL Server 2016 SP2 CU15,13.0.5850.14,KB4577775,28-Sep-20
SQL Server 2016 SP2 CU14,13.0.5830.85,KB4564903,6-Aug-20
SQL Server 2016 SP2 CU13,13.0.5820.21,KB4549825,28-May-20
SQL Server 2016 SP2 CU12,13.0.5698.0,KB4536648,25-Feb-20
SQL Server 2016 SP2 CU11,13.0.5598.27,KB4527378,9-Dec-19
SQL Server 2016 SP2 CU10,13.0.5492.2,KB4524334,8-Oct-19
SQL Server 2016 SP2 CU8,13.0.5426.0,KB4505830,31-Jul-19
SQL Server 2016 SP2 CU7,13.0.5337.0,KB4495256,22-May-19
SQL Server 2016 SP2 CU6,13.0.5292.0,KB4488536,19-Mar-19
SQL Server 2016 SP2 CU5,13.0.5264.1,KB4475776,23-Jan-19
SQL Server 2016 SP2 CU4,13.0.5233.0,KB4464106,13-Nov-18
SQL Server 2016 SP2 CU3,13.0.5216.0,KB4458871,20-Sep-18
SQL Server 2016 SP2 CU2 + Security Update,13.0.5201.2,KB4458621,21-Aug-18
SQL Server 2016 SP2 CU2,13.0.5153.0,KB4340355,16-Jul-18
SQL Server 2016 SP2 CU1,13.0.5149.0,KB4135048,30-May-18
SQL Server 2016 SP2,13.0.5026.0,KB4052908,24-Apr-18
SQL Server 2016 SP1 CU15,13.0.4574.0 (Latest build),KB4495257,16-May-19
SQL Server 2016 SP1 CU14,13.0.4560.0,KB4488535,19-Mar-19
SQL Server 2016 SP1 CU13,13.0.4550.1,KB4475775,23-Jan-19
SQL Server 2016 SP1 CU12,13.0.4541.0,KB4464343,13-Nov-18
SQL Server 2016 SP1 CU11,13.0.4528.0,KB4459676,17-Sep-18
SQL Server 2016 SP1 CU10 + Security Update,13.0.4522.0,KB4293808,14-Aug-18
SQL Server 2016 SP1 CU10,13.0.4514.0,KB4341569,16-Jul-18
SQL Server 2016 SP1 CU9,13.0.4502.0,KB4100997,30-May-18
SQL Server 2016 SP1 CU8,13.0.4474.0,KB4077064,19-Mar-18
SQL Server 2016 SP1 CU7,13.0.4466.4,KB4057119,4-Jan-18
SQL Server 2016 SP1 CU6,13.0.4457.0,KB4037354,21-Nov-17
SQL Server 2016 SP1 CU5,13.0.4451.0,KB4040714,18-Sep-17
SQL Server 2016 SP1 CU4,13.0.4446.0,KB4024305,8-Aug-17
SQL Server 2016 SP1 CU3,13.0.4435.0,KB4019916,15-May-17
SQL Server 2016 SP1 CU2,13.0.4422.0,KB4013106,20-Mar-17
SQL Server 2016 SP1 CU1,13.0.4411.0,KB3208177,18-Jan-17
SQL Server 2016 SP1,13.0.4001.0,KB3182545,16-Nov-16
SQL Server 2016 RTM CU9,13.0.2216.0(latest build),KB4037357,21-Nov-17
SQL Server 2016 RTM CU8,13.0.2213.0,KB4040713,18-Sep-17
SQL Server 2016 RTM CU7,13.0.2210.0,KB4024304,8-Aug-17
SQL Server 2016 RTM CU6,13.0.2204.0,KB4019914,15-May-17
SQL Server 2016 RTM CU5,13.0.2197.0,KB4013105,20-Mar-17
SQL Server 2016 RTM CU4,13.0.2193.0,KB3205052,18-Jan-17
SQL Server 2016 RTM CU3,13.0.2186.6,KB3205413,16-Nov-16
SQL Server 2016 RTM CU2,13.0.2164.0,KB3182270,22-Sep-16
SQL Server 2016 RTM CU1,13.0.2149.0,KB3164674,25-Jul-16
SQL Server 2016 RTM,13.0.1601.5,,1-Jun-16
